Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
selection_sort,100,4950,0.3603
insertion_sort,100,2669,0.3276
merge_sort,100,672,0.2537
quick_sort,100,99,0.1066
bubble_sort,100,4950,0.6163
optimal_bubble_sort,100,99,0.0103
heap_sort,100,474,0.2658
general_count_sort,100,0,0.0465
selection_sort,100,4950,0.3626
insertion_sort,100,2489,0.6981
merge_sort,100,672,0.2878
quick_sort,100,99,0.129
bubble_sort,100,4950,0.5939
optimal_bubble_sort,100,99,0.01
heap_sort,100,464,0.2661
general_count_sort,100,0,0.0498
selection_sort,200,19900,1.3785
insertion_sort,200,9058,1.1172
merge_sort,200,1544,0.5865
quick_sort,200,199,0.2289
bubble_sort,200,19900,2.3601
optimal_bubble_sort,200,199,0.0174
heap_sort,200,1064,0.5896
general_count_sort,200,0,0.0792
selection_sort,400,79800,5.5597
insertion_sort,400,39448,4.9448
merge_sort,400,3488,1.1518
quick_sort,400,399,0.545
bubble_sort,400,79800,9.5952
optimal_bubble_sort,400,399,0.0343
heap_sort,400,2602,1.3306
general_count_sort,400,0,0.1466
selection_sort,800,319600,22.2573
insertion_sort,800,158687,21.9355
merge_sort,800,7776,2.3761
quick_sort,800,799,1.2112
bubble_sort,800,319600,44.4884
optimal_bubble_sort,800,799,0.077
heap_sort,800,5791,3.2532
general_count_sort,800,0,0.3533
selection_sort,1000,499500,39.463
insertion_sort,1000,256288,35.1205
merge_sort,1000,9976,2.9621
quick_sort,1000,999,1.5378
bubble_sort,1000,499500,74.899
optimal_bubble_sort,1000,999,0.1056
heap_sort,1000,7400,4.4241
general_count_sort,1000,0,0.54
selection_sort,2000,1999000,149.7924
insertion_sort,2000,986234,146.1558
merge_sort,2000,21952,6.9592
quick_sort,2000,1999,3.5799
bubble_sort,2000,1999000,283.9365
optimal_bubble_sort,2000,1999,0.1736
heap_sort,2000,15742,7.9081
general_count_sort,2000,0,0.6909
selection_sort,100,4950,0.3462
insertion_sort,100,2458,0.3018
merge_sort,100,672,0.2255
quick_sort,100,99,0.1004
bubble_sort,100,4950,0.5989
optimal_bubble_sort,100,99,0.0105
heap_sort,100,465,0.2592
general_count_sort,100,0,0.0477
selection_sort,200,19900,1.3673
insertion_sort,200,9882,1.2231
merge_sort,200,1544,0.5035
quick_sort,200,199,0.2058
bubble_sort,200,19900,2.3701
optimal_bubble_sort,200,199,0.0172
heap_sort,200,1054,0.5686
general_count_sort,200,0,0.0889
selection_sort,400,79800,5.5125
